City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
88,port pirie,8,AU,1528088400,72,-33.18,138.01,62.6,8.05
89,georgetown,40,GY,1528084800,100,6.8,-58.16,75.2,2.24
90,osmanabad,0,IN,1528089985,84,18.19,76.04,85.6,8.63
91,puerto escondido,12,MX,1528089985,94,15.86,-97.07,86.77,17.36
92,lebu,0,ET,1528089985,100,8.96,38.73,61.57,3.83
93,pisco,76,PE,1528088400,82,-13.71,-76.2,64.4,3.36
94,ngunguru,64,NZ,1528089986,98,-35.62,174.5,62.02,15.35
95,yar-sale,80,RU,1528089986,97,66.83,70.83,32.68,16.8
96,gornopravdinsk,88,RU,1528089986,68,60.06,69.92,46.54,8.97
97,thompson,90,CA,1528088400,97,55.74,-97.86,33.8,4.7
98,humboldt,12,CA,1528089987,70,52.21,-105.12,47.44,4.16
99,port alfred,12,ZA,1528089987,100,-33.59,26.89,54.64,7.29
100,panjab,0,AF,1528089987,78,34.38,67.02,57.16,1.92
101,jamestown,12,AU,1528089987,54,-33.21,138.6,60.58,6.62
102,mahebourg,40,MU,1528088400,69,-20.41,57.7,77.0,11.41
103,luderitz,0,NA,1528089988,78,-26.65,15.16,52.48,8.41
104,bondo,88,CD,1528089988,99,3.81,23.69,70.84,1.36
105,te anau,36,NZ,1528089988,93,-45.41,167.72,27.55,1.59
106,raudeberg,20,NO,1528087800,66,61.99,5.14,53.6,13.87
107,carnarvon,0,ZA,1528089989,90,-30.97,22.13,28.72,8.63
108,nemuro,20,JP,1528084800,51,43.32,145.57,84.2,6.93
109,aitape,64,PG,1528089989,98,-3.15,142.36,81.64,3.15
110,medicine hat,20,CA,1528088400,45,50.04,-110.68,68.0,11.41
111,cidreira,76,BR,1528089989,100,-30.17,-50.22,53.38,4.38
112,erzin,20,TR,1528087800,69,36.95,36.2,77.0,10.29
113,hobart,20,AU,1528088400,62,-42.88,147.33,55.4,5.82
114,bambous virieux,40,MU,1528088400,69,-20.34,57.76,77.0,11.41
115,rio gallegos,0,AR,1528084800,92,-51.62,-69.22,23.0,4.7
116,ancud,32,CL,1528089990,73,-41.87,-73.83,28.18,1.92
117,komsomolskiy,92,RU,1528089990,99,67.55,63.78,27.37,18.48
118,dikson,92,RU,1528089991,90,73.51,80.55,33.94,20.49
119,santa helena de goias,48,BR,1528089991,72,-17.81,-50.6,71.11,10.76
120,norfolk,90,US,1528088580,88,36.85,-76.29,64.4,14.99
121,pevek,0,RU,1528089991,76,69.7,170.27,39.88,6.17
122,vostok,68,RU,1528089991,56,46.45,135.83,75.16,4.16
123,honiara,20,SB,1528088400,74,-9.43,159.96,86.0,9.17
124,trelew,20,AR,1528089922,83,-43.25,-65.31,24.85,6.06
125,mayo,75,CA,1528088400,93,63.59,-135.9,50.0,2.48
126,thakurgaon,92,BD,1528089992,100,26.02,88.47,79.12,13.22
127,podosinovets,92,RU,1528089992,74,60.28,47.06,51.4,4.61
128,manokwari,76,ID,1528089992,100,-0.87,134.08,82.18,5.61
129,bredasdorp,0,ZA,1528088400,93,-34.53,20.04,39.2,4.7
130,ribeira grande,92,PT,1528089993,96,38.52,-28.7,68.05,7.4
131,salalah,75,OM,1528084200,84,17.01,54.1,86.0,4.7
132,leningradskiy,0,RU,1528089993,95,69.38,178.42,33.04,7.63
133,jimma,92,ET,1528089993,100,7.67,36.84,61.12,2.71
134,pinhao,92,BR,1528089993,92,-25.7,-51.66,49.15,4.94
135,port augusta,0,AU,1528088400,72,-32.49,137.76,62.6,8.05
136,fukue,20,JP,1528086600,69,35.03,136.69,75.2,14.99
137,arraial do cabo,92,BR,1528089994,100,-22.97,-42.02,69.58,13.44
138,synya,48,RU,1528089994,69,65.37,58.04,34.21,4.16
139,scottsbluff,1,US,1528087980,52,41.87,-103.67,66.2,17.22
140,brae,75,GB,1528087800,87,60.4,-1.35,50.0,8.05
141,alugan,80,PH,1528089995,88,12.22,125.48,86.59,8.41
142,dusetos,20,LT,1528089995,67,55.75,25.85,67.69,12.33
143,kodiak,1,US,1528087980,87,39.95,-94.76,60.8,3.36
144,igunga,8,TZ,1528089995,46,-4.28,33.88,74.44,9.19
145,provideniya,90,RU,1528086600,86,64.42,-173.23,39.2,11.18
146,narsaq,100,GL,1528087800,42,60.91,-46.05,62.6,18.34
147,bhadasar,0,IN,1528089996,18,28.3,74.31,105.4,6.85
148,lumajang,32,ID,1528089996,88,-8.14,113.22,82.45,7.52
149,luziania,0,BR,1528088400,87,-16.25,-47.95,51.8,5.61
150,la ronge,20,CA,1528088400,81,55.1,-105.3,42.8,6.93
151,bundaberg,0,AU,1528089996,94,-24.87,152.35,70.3,12.66
152,garowe,0,SO,1528089997,38,8.41,48.48,89.02,21.83
153,iskateley,32,RU,1528089997,100,67.68,53.15,30.07,8.52
154,tiksi,32,RU,1528089997,87,71.64,128.87,51.94,3.04
155,flagstaff,1,US,1528088220,15,35.2,-111.65,80.6,5.82
156,tabuk,44,PH,1528089998,93,17.41,121.44,77.77,1.7
157,nukus,0,UZ,1528086600,11,42.46,59.61,71.6,9.17
158,lavrentiya,92,RU,1528089998,95,65.58,-170.99,33.04,5.17
159,aketi,92,CD,1528089998,100,2.74,23.78,70.39,2.82
160,den helder,90,NL,1528088220,93,52.96,4.76,59.0,5.82
161,buraydah,0,SA,1528084800,23,26.33,43.97,86.0,10.29
162,faya,0,SA,1528088400,47,18.39,42.45,77.0,4.27
163,lata,36,IN,1528089999,81,30.78,78.62,67.87,1.92
164,mitsamiouli,20,KM,1528088400,61,-11.38,43.28,80.6,4.7
165,ballina,0,IE,1528089999,92,54.11,-9.15,55.36,2.71
166,port hedland,0,AU,1528088400,13,-20.31,118.58,86.0,24.16
167,airai,24,TL,1528090000,45,-8.93,125.41,81.73,0.92
168,xam nua,48,LA,1528090000,82,20.42,104.04,76.87,2.48
169,narayanganj,75,BD,1528086600,70,23.62,90.5,89.6,8.05
170,bandarbeyla,0,SO,1528090000,77,9.49,50.81,81.64,27.54
171,jinxiang,24,CN,1528090001,57,35.07,116.31,88.12,8.3
172,chuy,0,UY,1528090001,90,-33.69,-53.46,52.03,9.98
173,ugoofaaru,48,MV,1528090001,100,5.67,73.0,81.28,13.0
174,ahipara,92,NZ,1528090001,100,-35.17,173.16,59.05,9.75
175,matriz de camaragibe,75,BR,1528088400,88,-9.15,-35.52,75.2,1.12
176,tabou,88,CI,1528090001,100,4.42,-7.36,80.02,4.94
177,khatanga,68,RU,1528090002,82,71.98,102.47,56.98,8.75
178,sitka,56,US,1528090002,31,37.17,-99.65,74.08,13.0
179,mar del plata,0,AR,1528090002,100,-46.43,-67.52,31.06,9.64
180,hofn,56,IS,1528090002,96,64.25,-15.21,47.53,3.38
181,morondava,44,MG,1528090002,73,-20.3,44.28,77.14,3.27
182,camacupa,0,AO,1528090003,63,-12.02,17.48,50.59,6.85
